,id,listing_url,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,availability_30,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month,BezirkeNbr,Zip
11006,36985966,https://www.airbnb.com/rooms/36985966,Donaustadt,48.22521,16.45563,Entire home/apt,3,1.0,1.0,50.0,11,3,100.0,f,strict_14_with_grace_period,1.23,22.,1220 Wien
11007,36986588,https://www.airbnb.com/rooms/36986588,Innere Stadt,48.202529999999996,16.37063,Entire home/apt,8,4.0,5.0,299.0,12,26,96.0,t,flexible,7.16,1.,1010 Wien
11009,36989440,https://www.airbnb.com/rooms/36989440,Penzing,48.20183,16.2472,Entire home/apt,3,1.0,2.0,49.0,30,3,100.0,f,moderate,0.95,14.,1140 Wien
11016,36991371,https://www.airbnb.com/rooms/36991371,Landstraße,48.19811,16.40494,Entire home/apt,4,1.0,2.0,49.0,19,8,90.0,t,flexible,2.22,3.,1030 Wien
11017,36991742,https://www.airbnb.com/rooms/36991742,Favoriten,48.1767,16.35901,Private room,2,2.0,2.0,26.0,0,3,100.0,t,flexible,0.79,10.,1100 Wien
11018,36992279,https://www.airbnb.com/rooms/36992279,Meidling,48.17392,16.31297,Entire home/apt,5,1.0,2.0,99.0,20,29,94.0,t,strict_14_with_grace_period,8.06,12.,1120 Wien
11020,36994572,https://www.airbnb.com/rooms/36994572,Leopoldstadt,48.21744,16.38222,Private room,2,1.0,2.0,30.0,6,21,76.0,t,flexible,5.43,2.,1020 Wien
11021,36996055,https://www.airbnb.com/rooms/36996055,Leopoldstadt,48.21908,16.380329999999997,Private room,2,1.0,1.0,30.0,7,21,80.0,t,strict_14_with_grace_period,5.43,2.,1020 Wien
11022,36997269,https://www.airbnb.com/rooms/36997269,Neubau,48.20615,16.34874,Entire home/apt,7,2.0,7.0,250.0,14,20,100.0,t,moderate,5.5,7.,1070 Wien
11023,36999198,https://www.airbnb.com/rooms/36999198,Rudolfsheim-Fünfhaus,48.19879,16.337429999999998,Entire home/apt,2,1.0,2.0,75.0,7,5,100.0,f,moderate,1.56,15.,1150 Wien
11024,37000294,https://www.airbnb.com/rooms/37000294,Favoriten,48.16905,16.37122,Entire home/apt,5,2.0,3.0,85.0,14,14,97.0,f,moderate,3.93,10.,1100 Wien
11025,37001551,https://www.airbnb.com/rooms/37001551,Ottakring,48.21594,16.31338,Entire home/apt,4,1.0,2.0,50.0,16,14,93.0,t,strict_14_with_grace_period,4.0,16.,1160 Wien
11026,37003612,https://www.airbnb.com/rooms/37003612,Mariahilf,48.19767,16.3571,Entire home/apt,4,1.0,1.0,50.0,0,7,91.0,f,flexible,2.0,6.,1060 Wien
11027,37007280,https://www.airbnb.com/rooms/37007280,Margareten,48.183890000000005,16.352610000000002,Private room,2,1.0,1.0,20.0,3,26,98.0,f,moderate,7.03,5.,1050 Wien
11028,37008945,https://www.airbnb.com/rooms/37008945,Neubau,48.20495,16.34214,Entire home/apt,2,1.0,1.0,49.0,3,22,99.0,f,moderate,5.74,7.,1070 Wien
11029,37009667,https://www.airbnb.com/rooms/37009667,Wieden,48.18793,16.37145,Entire home/apt,4,1.0,1.0,70.0,17,11,96.0,f,moderate,3.03,4.,1040 Wien
11030,37012719,https://www.airbnb.com/rooms/37012719,Mariahilf,48.190459999999995,16.346420000000002,Entire home/apt,7,2.0,3.0,180.0,9,5,92.0,t,flexible,1.4,6.,1060 Wien
11032,37032218,https://www.airbnb.com/rooms/37032218,Neubau,48.2045,16.3466,Entire home/apt,4,2.0,2.0,120.0,0,1,100.0,f,flexible,0.28,7.,1070 Wien
11033,37033549,https://www.airbnb.com/rooms/37033549,Leopoldstadt,48.217729999999996,16.37252,Entire home/apt,5,2.0,3.0,78.0,10,12,97.0,t,flexible,3.33,2.,1020 Wien
11035,37034172,https://www.airbnb.com/rooms/37034172,Brigittenau,48.23437,16.38862,Entire home/apt,4,1.0,3.0,34.0,8,7,94.0,t,flexible,1.93,20.,1200 Wien
11036,37037448,https://www.airbnb.com/rooms/37037448,Währing,48.22105,16.34204,Entire home/apt,4,2.0,2.0,40.0,0,1,100.0,f,flexible,1.0,18.,1180 Wien
11037,37037872,https://www.airbnb.com/rooms/37037872,Währing,48.24621,16.305220000000002,Entire home/apt,10,5.0,7.0,245.0,28,5,88.0,f,flexible,1.58,18.,1180 Wien
11039,37038575,https://www.airbnb.com/rooms/37038575,Brigittenau,48.22768,16.36632,Entire home/apt,2,1.0,1.0,68.0,0,5,100.0,f,flexible,1.42,20.,1200 Wien
11040,37040273,https://www.airbnb.com/rooms/37040273,Landstraße,48.20095,16.39367,Private room,4,1.0,2.0,45.0,17,5,100.0,f,flexible,1.95,3.,1030 Wien
11042,37041862,https://www.airbnb.com/rooms/37041862,Mariahilf,48.19936,16.36516,Entire home/apt,2,1.0,1.0,45.0,0,1,100.0,f,flexible,0.32,6.,1060 Wien
11043,37042784,https://www.airbnb.com/rooms/37042784,Landstraße,48.19869,16.39464,Entire home/apt,2,1.0,2.0,95.0,7,2,100.0,f,moderate,0.64,3.,1030 Wien
11044,37043075,https://www.airbnb.com/rooms/37043075,Mariahilf,48.198,16.35247,Entire home/apt,3,1.0,1.0,75.0,0,1,60.0,f,moderate,0.33,6.,1060 Wien
11046,37051172,https://www.airbnb.com/rooms/37051172,Hernals,48.21605,16.33843,Private room,4,1.0,2.0,39.0,0,4,85.0,f,flexible,1.07,17.,1170 Wien
11047,37053541,https://www.airbnb.com/rooms/37053541,Mariahilf,48.19615,16.341739999999998,Entire home/apt,2,1.0,1.0,49.0,12,3,87.0,f,flexible,1.01,6.,1060 Wien
11048,37054060,https://www.airbnb.com/rooms/37054060,Währing,48.22525,16.34696,Entire home/apt,2,1.0,1.0,33.0,11,1,100.0,t,flexible,1.0,18.,1180 Wien
11050,37064964,https://www.airbnb.com/rooms/37064964,Mariahilf,48.19721,16.35509,Entire home/apt,6,2.0,3.0,99.0,1,5,100.0,t,flexible,1.95,6.,1060 Wien
11052,37067059,https://www.airbnb.com/rooms/37067059,Penzing,48.188390000000005,16.31048,Entire home/apt,3,1.0,2.0,49.0,21,19,99.0,t,flexible,5.18,14.,1140 Wien
11055,37074285,https://www.airbnb.com/rooms/37074285,Neubau,48.20343,16.35697,Private room,3,1.0,2.0,35.0,0,2,100.0,f,moderate,0.68,7.,1070 Wien
11056,37075727,https://www.airbnb.com/rooms/37075727,Döbling,48.25189,16.37066,Entire home/apt,3,1.0,1.0,44.0,0,30,96.0,t,moderate,7.76,19.,1190 Wien
11058,37077707,https://www.airbnb.com/rooms/37077707,Margareten,48.1859,16.36404,Entire home/apt,4,1.0,1.0,60.0,8,3,100.0,f,flexible,3.0,5.,1050 Wien
11061,37088825,https://www.airbnb.com/rooms/37088825,Leopoldstadt,48.20856,16.4143,Shared room,10,1.0,10.0,35.0,26,2,80.0,t,flexible,0.75,2.,1020 Wien
11062,37100680,https://www.airbnb.com/rooms/37100680,Alsergrund,48.21546,16.35763,Private room,2,1.0,1.0,159.0,4,2,70.0,f,strict_14_with_grace_period,0.65,9.,1090 Wien
11063,37102797,https://www.airbnb.com/rooms/37102797,Landstraße,48.18824,16.39734,Entire home/apt,4,1.0,1.0,70.0,20,3,100.0,f,moderate,3.0,3.,1030 Wien
11064,37103216,https://www.airbnb.com/rooms/37103216,Ottakring,48.21649,16.3131,Private room,1,1.0,1.0,19.0,15,19,85.0,t,flexible,4.91,16.,1160 Wien
11065,37103337,https://www.airbnb.com/rooms/37103337,Meidling,48.163109999999996,16.32517,Private room,3,1.0,1.0,25.0,0,23,97.0,t,flexible,6.63,12.,1120 Wien
11066,37105704,https://www.airbnb.com/rooms/37105704,Meidling,48.180240000000005,16.335739999999998,Entire home/apt,2,1.0,1.0,60.0,18,8,97.0,f,flexible,2.16,12.,1120 Wien
11067,37109335,https://www.airbnb.com/rooms/37109335,Josefstadt,48.206990000000005,16.35365,Entire home/apt,3,1.0,2.0,69.0,2,26,100.0,t,strict_14_with_grace_period,8.04,8.,1080 Wien
11068,37112935,https://www.airbnb.com/rooms/37112935,Neubau,48.205459999999995,16.34318,Private room,1,1.0,1.0,40.0,0,3,93.0,f,flexible,0.8,7.,1070 Wien
11069,37113355,https://www.airbnb.com/rooms/37113355,Meidling,48.17893,16.34133,Entire home/apt,4,2.0,2.0,80.0,2,3,100.0,f,strict_14_with_grace_period,1.02,12.,1120 Wien
11070,37118203,https://www.airbnb.com/rooms/37118203,Leopoldstadt,48.21747,16.3752,Entire home/apt,4,1.0,6.0,91.0,15,23,88.0,t,moderate,6.39,2.,1020 Wien
11071,37119663,https://www.airbnb.com/rooms/37119663,Brigittenau,48.234190000000005,16.37321,Entire home/apt,2,1.0,1.0,50.0,0,3,87.0,f,flexible,0.98,20.,1200 Wien
11072,37123551,https://www.airbnb.com/rooms/37123551,Hernals,48.22475,16.33219,Entire home/apt,4,1.0,1.0,65.0,10,10,92.0,f,moderate,2.94,17.,1170 Wien
11073,37139318,https://www.airbnb.com/rooms/37139318,Margareten,48.187059999999995,16.34623,Entire home/apt,4,1.0,2.0,55.0,1,10,92.0,t,moderate,2.78,5.,1050 Wien
11075,37143281,https://www.airbnb.com/rooms/37143281,Währing,48.23232,16.34062,Private room,2,1.0,1.0,21.0,0,20,97.0,t,flexible,5.41,18.,1180 Wien
11076,37143524,https://www.airbnb.com/rooms/37143524,Leopoldstadt,48.212740000000004,16.38148,Private room,2,1.0,1.0,50.0,2,1,100.0,f,flexible,0.32,2.,1020 Wien
11079,37148460,https://www.airbnb.com/rooms/37148460,Alsergrund,48.23001,16.354670000000002,Private room,3,1.0,2.0,55.0,0,17,96.0,f,flexible,4.64,9.,1090 Wien
11080,37148678,https://www.airbnb.com/rooms/37148678,Währing,48.22032,16.342270000000003,Private room,2,1.0,2.0,25.0,0,29,96.0,t,flexible,7.98,18.,1180 Wien
11081,37156467,https://www.airbnb.com/rooms/37156467,Brigittenau,48.22974,16.36909,Entire home/apt,4,1.0,2.0,30.0,8,14,89.0,t,flexible,3.85,20.,1200 Wien
11083,37176563,https://www.airbnb.com/rooms/37176563,Leopoldstadt,48.22463,16.38428,Entire home/apt,6,1.0,1.0,49.0,11,15,97.0,t,moderate,4.74,2.,1020 Wien
11084,37178475,https://www.airbnb.com/rooms/37178475,Ottakring,48.204679999999996,16.33163,Entire home/apt,6,3.0,3.0,72.0,10,7,94.0,f,flexible,1.91,16.,1160 Wien
11085,37180016,https://www.airbnb.com/rooms/37180016,Ottakring,48.2051,16.33652,Private room,2,1.0,1.0,50.0,15,13,88.0,f,strict_14_with_grace_period,3.86,16.,1160 Wien
11086,37181131,https://www.airbnb.com/rooms/37181131,Meidling,48.18608,16.3367,Private room,4,1.0,1.0,40.0,16,12,90.0,f,moderate,3.46,12.,1120 Wien
11087,37191705,https://www.airbnb.com/rooms/37191705,Landstraße,48.18475,16.39809,Entire home/apt,4,2.0,3.0,62.0,0,7,97.0,t,flexible,2.04,3.,1030 Wien
